Date,Balance
8/26/17,"-$48,597.34"
8/27/17,"-$48,597.34"
8/28/17,"-$48,637.48"
8/29/17,"-$48,637.48"
8/30/17,"-$49,050.03"
8/31/17,"-$49,077.53"
9/1/17,"-$48,985.92"
9/2/17,"-$48,986.06"
9/3/17,"-$48,987.05"
9/4/17,"-$48,987.05"
9/5/17,"-$48,985.05"
9/6/17,"-$48,985.05"
9/7/17,"-$48,985.05"
9/8/17,"-$49,069.61"
9/9/17,"-$49,069.61"
9/10/17,"-$49,069.61"
9/11/17,"-$49,069.61"
9/12/17,"-$49,069.61"
9/13/17,"-$49,069.61"
9/14/17,"-$49,069.61"
9/15/17,"-$48,329.33"
9/16/17,"-$48,329.33"
9/17/17,"-$48,329.33"
9/18/17,"-$48,329.33"
9/19/17,"-$48,339.33"
9/20/17,"-$48,355.33"
9/21/17,"-$48,374.63"
9/22/17,"-$48,369.63"
9/23/17,"-$48,369.63"
9/24/17,"-$48,369.63"
